PTNBH	Provinsi asal peminat	Jumlah pendaftar SNBT-UTBK	% of Total
UNIVERSITAS DIPONEGORO	Jambi	411	0.5
UNIVERSITAS DIPONEGORO	Jawa Barat	12231	14.5
UNIVERSITAS DIPONEGORO	Jawa Tengah	46243	54.7
UNIVERSITAS DIPONEGORO	Jawa Timur	3421	4
UNIVERSITAS DIPONEGORO	Kalimantan Barat	329	0.4
UNIVERSITAS DIPONEGORO	Kalimantan Selatan	261	0.3
UNIVERSITAS DIPONEGORO	Kalimantan Tengah	380	0.4
UNIVERSITAS DIPONEGORO	Kalimantan Timur	389	0.5
UNIVERSITAS DIPONEGORO	Kalimantan Utara	51	0.1
UNIVERSITAS DIPONEGORO	Kepulauan Bangka Belitung	207	0.2
UNIVERSITAS DIPONEGORO	Kepulauan Riau	789	0.9
UNIVERSITAS DIPONEGORO	Lampung	952	1.1
UNIVERSITAS DIPONEGORO	Maluku	66	0.1
UNIVERSITAS DIPONEGORO	Maluku Utara	59	0.1
UNIVERSITAS DIPONEGORO	Nusa Tenggara Barat	238	0.3
UNIVERSITAS DIPONEGORO	Nusa Tenggara Timur	228	0.3
UNIVERSITAS DIPONEGORO	Papua	119	0.1
UNIVERSITAS DIPONEGORO	Papua Barat	57	0.1
UNIVERSITAS DIPONEGORO	Riau	902	1.1
UNIVERSITAS DIPONEGORO	Sulawesi Barat	21	0
UNIVERSITAS DIPONEGORO	Sulawesi Selatan	285	0.3
UNIVERSITAS DIPONEGORO	Sulawesi Tengah	67	0.1
UNIVERSITAS DIPONEGORO	Sulawesi Tenggara	83	0.1
UNIVERSITAS DIPONEGORO	Sulawesi Utara	79	0.1
UNIVERSITAS DIPONEGORO	Sumatera Barat	848	1
UNIVERSITAS DIPONEGORO	Sumatera Selatan	785	0.9
UNIVERSITAS DIPONEGORO	Sumatera Utara	3303	3.9
UNIVERSITAS GADJAH MADA	Aceh	457	0.5
UNIVERSITAS GADJAH MADA	Bali	533	0.6
UNIVERSITAS GADJAH MADA	Banten	2935	3.3
UNIVERSITAS GADJAH MADA	Bengkulu	469	0.5
UNIVERSITAS GADJAH MADA	DI Yogyakarta	22915	25.7
UNIVERSITAS GADJAH MADA	DKI Jakarta	3728	4.2
UNIVERSITAS GADJAH MADA	Gorontalo	111	0.1
UNIVERSITAS GADJAH MADA	Jambi	624	0.7
UNIVERSITAS GADJAH MADA	Jawa Barat	10224	11.5
UNIVERSITAS GADJAH MADA	Jawa Tengah	21333	23.9
UNIVERSITAS GADJAH MADA	Jawa Timur	7455	8.4
